PromoID,PromoName,StartDate,EndDate,CategoryScope,DiscountPct
PR-001,Black Friday Mega Sale,2023-11-20,2023-11-27,All,0.3
PR-002,Black Friday Mega Sale,2024-11-25,2024-12-02,All,0.3
PR-003,Black Friday Mega Sale,2025-11-24,2025-12-01,All,0.3
PR-004,Christmas Bundle Deals,2023-12-10,2023-12-31,CAT-01,0.15
PR-005,Christmas Bundle Deals,2024-12-10,2024-12-31,CAT-01,0.15
PR-006,Christmas Bundle Deals,2025-12-10,2025-12-31,CAT-01,0.15
PR-007,Ramadan Essentials,2023-03-23,2023-04-21,CAT-01,0.12
PR-008,Ramadan Essentials,2024-03-11,2024-04-09,CAT-01,0.12
PR-009,Ramadan Essentials,2025-03-01,2025-03-30,CAT-01,0.12
PR-010,Back to School,2023-09-01,2023-09-21,CAT-05,0.2
PR-011,Back to School,2024-09-02,2024-09-22,CAT-05,0.2
PR-012,Back to School,2025-09-01,2025-09-21,CAT-05,0.2
PR-013,Tech Week,2023-07-10,2023-07-17,CAT-02,0.1
PR-014,Tech Week,2024-07-08,2024-07-15,CAT-02,0.1
PR-015,Tech Week,2025-07-07,2025-07-14,CAT-02,0.1
PR-016,Baby Fair,2024-05-06,2024-05-19,CAT-06,0.18
PR-017,Baby Fair,2025-05-05,2025-05-18,CAT-06,0.18
PR-018,Salary Week Saver Jan 2023,2023-01-25,2023-02-03,CAT-04,0.06
PR-019,Salary Week Saver Feb 2023,2023-02-25,2023-03-06,All,0.14
PR-020,Salary Week Saver Mar 2023,2023-03-25,2023-04-03,CAT-03,0.07
PR-021,Salary Week Saver Apr 2023,2023-04-25,2023-05-04,CAT-04,0.06
PR-022,Salary Week Saver May 2023,2023-05-25,2023-06-03,All,0.12
PR-023,Salary Week Saver Jun 2023,2023-06-25,2023-07-04,CAT-03,0.1
PR-024,Salary Week Saver Jul 2023,2023-07-25,2023-08-03,CAT-03,0.14
PR-025,Salary Week Saver Aug 2023,2023-08-25,2023-09-03,CAT-03,0.09
PR-026,Salary Week Saver Sep 2023,2023-09-25,2023-10-04,CAT-04,0.08
PR-027,Salary Week Saver Oct 2023,2023-10-25,2023-11-03,CAT-03,0.07
PR-028,Salary Week Saver Nov 2023,2023-11-25,2023-12-04,CAT-04,0.12
PR-029,Salary Week Saver Dec 2023,2023-12-25,2024-01-03,CAT-01,0.06
PR-030,Salary Week Saver Jan 2024,2024-01-25,2024-02-03,CAT-03,0.11
PR-031,Salary Week Saver Feb 2024,2024-02-25,2024-03-05,CAT-03,0.13
PR-032,Salary Week Saver Mar 2024,2024-03-25,2024-04-03,All,0.11
PR-033,Salary Week Saver Apr 2024,2024-04-25,2024-05-04,All,0.1
PR-034,Salary Week Saver May 2024,2024-05-25,2024-06-03,CAT-04,0.14
PR-035,Salary Week Saver Jun 2024,2024-06-25,2024-07-04,All,0.09
PR-036,Salary Week Saver Jul 2024,2024-07-25,2024-08-03,CAT-01,0.07
PR-037,Salary Week Saver Aug 2024,2024-08-25,2024-09-03,CAT-03,0.1
PR-038,Salary Week Saver Sep 2024,2024-09-25,2024-10-04,CAT-03,0.14
PR-039,Salary Week Saver Oct 2024,2024-10-25,2024-11-03,CAT-04,0.09
PR-040,Salary Week Saver Nov 2024,2024-11-25,2024-12-04,All,0.12
PR-041,Salary Week Saver Dec 2024,2024-12-25,2025-01-03,CAT-01,0.07
PR-042,Salary Week Saver Jan 2025,2025-01-25,2025-02-03,CAT-03,0.06
PR-043,Salary Week Saver Feb 2025,2025-02-25,2025-03-06,All,0.1
PR-044,Salary Week Saver Mar 2025,2025-03-25,2025-04-03,CAT-01,0.13
PR-045,Salary Week Saver Apr 2025,2025-04-25,2025-05-04,CAT-04,0.06
PR-046,Salary Week Saver May 2025,2025-05-25,2025-06-03,All,0.1
PR-047,Salary Week Saver Jun 2025,2025-06-25,2025-07-04,All,0.1
PR-048,Salary Week Saver Jul 2025,2025-07-25,2025-08-03,CAT-04,0.1
PR-049,Salary Week Saver Aug 2025,2025-08-25,2025-09-03,CAT-03,0.09
PR-050,Salary Week Saver Sep 2025,2025-09-25,2025-10-04,CAT-03,0.1
PR-051,Salary Week Saver Oct 2025,2025-10-25,2025-11-03,CAT-03,0.1
PR-052,Salary Week Saver Nov 2025,2025-11-25,2025-12-04,CAT-01,0.06
PR-053,Salary Week Saver Dec 2025,2025-12-25,2026-01-03,CAT-03,0.11
