ReturnID,OrderID,ProductID,ReturnDate,QuantityReturned,Reason,RefundAmount,Status
RT-00001,ORD-2023-000002,P-1040,2023-01-07,1,Changed mind,33900.0,Approved
RT-00002,ORD-2023-000037,P-0480,2023-01-09,1,Damaged in transit,144100.0,Approved
RT-00003,ORD-2023-000042,P-0960,2023-01-09,1,Quality below expectation,76700.0,Rejected
RT-00004,ORD-2023-000094,P-0165,2023-01-10,3,Damaged in transit,26100.0,Approved
RT-00005,ORD-2023-000199,P-0179,2023-01-12,1,Expired product,3600.0,Approved
RT-00006,ORD-2023-000272,P-0528,2023-01-17,1,Wrong item delivered,391850.0,Approved
RT-00007,ORD-2023-000299,P-0474,2023-01-23,1,Wrong item delivered,362500.0,Approved
RT-00008,ORD-2023-000304,P-1049,2023-01-18,1,Wrong item delivered,14000.0,Approved
RT-00009,ORD-2023-000361,P-0993,2023-01-21,1,Quality below expectation,111274.5,Approved
RT-00010,ORD-2023-000379,P-0006,2023-01-20,1,Expired product,3550.0,Approved
RT-00011,ORD-2023-000389,P-0127,2023-01-14,1,Wrong item delivered,3420.0,Approved
RT-00012,ORD-2023-000399,P-0390,2023-01-16,1,Changed mind,74632.5,Approved
RT-00013,ORD-2023-000423,P-0890,2023-01-25,1,Wrong item delivered,2850.0,Approved
RT-00014,ORD-2023-000427,P-0771,2023-01-27,1,Wrong item delivered,1500.0,Approved
RT-00015,ORD-2023-000442,P-0514,2023-01-26,1,Damaged in transit,106150.0,Approved
RT-00016,ORD-2023-000483,P-1200,2023-01-28,1,Damaged in transit,10350.0,Approved
RT-00017,ORD-2023-000576,P-0028,2023-01-31,1,Wrong item delivered,4950.0,Approved
RT-00018,ORD-2023-000628,P-0026,2023-01-22,1,Damaged in transit,8550.0,Rejected
RT-00019,ORD-2023-000683,P-0907,2023-01-30,1,Changed mind,10250.0,Approved
RT-00020,ORD-2023-000698,P-0042,2023-01-30,1,Changed mind,5400.0,Approved
RT-00021,ORD-2023-000702,P-1079,2023-01-25,1,Quality below expectation,93850.0,Approved
RT-00022,ORD-2023-000730,P-1191,2023-01-25,1,Damaged in transit,17300.0,Approved
RT-00023,ORD-2023-000736,P-0485,2023-01-22,1,Changed mind,278200.0,Approved
RT-00024,ORD-2023-000737,P-0434,2023-01-26,1,Changed mind,22150.0,Approved
RT-00025,ORD-2023-000744,P-0245,2023-01-27,1,Expired product,3650.0,Approved
RT-00026,ORD-2023-000745,P-0813,2023-02-02,1,Damaged in transit,11850.0,Approved
RT-00027,ORD-2023-000764,P-0303,2023-02-01,1,Changed mind,7900.0,Approved
RT-00028,ORD-2023-000765,P-1042,2023-02-05,1,Wrong item delivered,54200.0,Approved
RT-00029,ORD-2023-000799,P-0075,2023-01-27,1,Wrong item delivered,2400.0,Approved
